player_name,role,total_runs,strike_rate,total_balls_faced,total_wickets_taken,total_runs_conceded,total_overs_bowled,total_matches_played,matches_played_as_batter,matches_played_as_bowler,matches_won,matches_lost,player_of_match_awards,team,average
V Kohli,Batter,13784,91.70381212161533,15031,7,681,671,579,579,0,360,219,41,India,1969.142857142857
KC Sangakkara,Batter,11618,79.39046057127238,14634,0,0,0,510,510,0,237,273,26,Sri Lanka,
RG Sharma,Batter,10646,90.35817348497709,11782,11,538,614,577,577,0,358,219,23,India,967.8181818181819
MS Dhoni,Batter,10274,84.97932175351531,12090,1,32,38,575,575,0,356,219,20,India,10274.0
AB de Villiers,Batter,9435,99.44139966273187,9488,7,205,201,466,466,0,286,180,26,South Africa,1347.857142857143
TM Dilshan,Batter,9212,85.47833348798368,10777,97,4197,5141,510,510,0,237,273,24,Sri Lanka,94.96907216494846
LRPL Taylor,Batter,8126,80.93625498007968,10040,0,35,45,444,444,0,231,213,16,New Zealand,
DPMD Jayawardene,Batter,8040,78.57701329163409,10232,2,63,72,510,510,0,237,273,12,Sri Lanka,4020.0
HM Amla,Batter,7834,86.48708324133364,9058,0,0,0,470,470,0,290,180,16,South Africa,
Tamim Iqbal,Batter,7648,76.6409459865718,9979,0,13,7,345,345,0,134,211,13,Bangladesh,
MJ Guptill,Batter,7125,85.24766690595837,8358,4,100,116,444,444,0,231,213,22,New Zealand,1781.25
Mushfiqur Rahim,Batter,7094,78.94502559537058,8986,0,0,0,345,345,0,134,211,9,Bangladesh,
MJ Clarke,Batter,6988,76.83342495876856,9095,56,1868,2264,545,545,0,381,164,10,Australia,124.78571428571429
RT Ponting,Batter,6979,80.6075306075306,8658,0,0,0,545,545,0,381,164,17,Australia,
EJG Morgan,Batter,6953,89.51976310029612,7767,0,0,0,517,517,0,295,222,12,England,
Yuvraj Singh,Batter,6868,85.45477168097548,8037,99,3438,4028,579,579,0,360,219,20,India,69.37373737373737
S Dhawan,Batter,6733,89.4869750132908,7524,0,0,0,577,577,0,358,219,11,India,
Q de Kock,Batter,6661,94.83200455580865,7024,0,0,0,470,470,0,290,180,19,South Africa,
DA Warner,Batter,6623,94.96702036134212,6974,0,8,6,545,545,0,381,164,16,Australia,
WU Tharanga,Batter,6482,73.28434143583947,8845,0,0,0,512,512,0,237,275,11,Sri Lanka,
CH Gayle,Batter,6433,86.53483992467044,7434,112,3569,4517,427,427,0,165,262,13,West Indies,57.4375
SR Tendulkar,Batter,6432,84.55370053897727,7607,31,1420,1545,574,574,0,356,218,16,India,207.48387096774192
Mohammad Hafeez,Batter,6351,76.08721696417875,8347,142,5081,7303,468,468,0,227,241,19,Pakistan,44.725352112676056
V Sehwag,Batter,5692,101.93409742120343,5584,58,2083,2475,574,574,0,356,218,15,India,98.13793103448276
Babar Azam,Batter,5659,86.88776293566713,6513,0,0,0,462,462,0,223,239,13,Pakistan,
AD Mathews,Batter,5646,81.4248629939429,6934,137,4068,5205,512,512,0,237,275,9,Sri Lanka,41.21167883211679
SK Raina,Batter,5585,90.85732877826582,6147,42,1832,2147,579,579,0,360,219,11,India,132.97619047619048
SPD Smith,Batter,5549,85.38236651792583,6499,29,985,1081,543,543,0,381,162,11,Australia,191.3448275862069
F du Plessis,Batter,5445,86.59351145038168,6288,2,191,197,470,470,0,290,180,9,South Africa,2722.5
SR Watson,Batter,5357,90.04874768868717,5949,162,4780,5690,544,544,0,381,163,15,Australia,33.0679012345679
IR Bell,Batter,5289,75.58953837358868,6997,6,89,92,518,518,0,295,223,9,England,881.5
AJ Finch,Batter,5188,84.56397718011411,6135,5,259,287,544,544,0,381,163,7,Australia,1037.6
BB McCullum,Batter,5157,94.50247388675096,5457,0,0,0,443,443,0,231,212,5,New Zealand,
BRM Taylor,Batter,5130,74.03665752633857,6929,4,279,262,277,277,0,66,211,4,Zimbabwe,1282.5
Mahmudullah,Batter,5127,75.45253863134658,6795,83,3605,4086,345,345,0,134,211,4,Bangladesh,61.7710843373494
MEK Hussey,Batter,5076,84.4311377245509,6012,4,237,249,545,545,0,381,164,11,Australia,1269.0
JC Buttler,Batter,5018,114.8283752860412,4370,0,0,0,519,519,0,295,224,13,England,
SD Hope,Batter,4989,78.1484962406015,6384,0,0,0,430,430,0,166,264,9,West Indies,
G Gambhir,Batter,4981,83.95415472779369,5933,0,13,8,579,579,0,360,219,11,India,
JP Duminy,Batter,4928,82.32542599398597,5986,74,3094,3460,470,470,0,290,180,7,South Africa,66.5945945945946
Younis Khan,Batter,4777,74.51255654344095,6411,1,217,222,469,469,0,227,242,10,Pakistan,4777.0
Misbah-ul-Haq,Batter,4752,72.56069628950985,6549,0,30,24,469,469,0,227,242,7,Pakistan,
DA Miller,Batter,4466,100.5629362756136,4441,0,0,0,470,470,0,290,180,4,South Africa,
